indice_sistema,area,cobertura,territorio,año,geo
58,3.9568516737670887,6,ANP,2003,
59,4.0461520535278295,6,ANP,2004,
60,4.1594943527832005,6,ANP,2005,
61,4.365698030334464,6,ANP,2006,
62,4.4005656514282165,6,ANP,2007,
63,4.434488549804685,6,ANP,2008,
64,4.477375598999019,6,ANP,2009,
65,4.663890520263667,6,ANP,2010,
66,4.727266331298824,6,ANP,2011,
67,4.80216258258056,6,ANP,2012,
68,5.0121312991943325,6,ANP,2013,
69,5.1683479038085895,6,ANP,2014,
70,4.973474004516599,6,ANP,2015,
71,5.1715951795043855,6,ANP,2016,
72,5.31891614080809,6,ANP,2017,
73,5.265383207031236,6,ANP,2018,
74,5.219084670227039,6,ANP,2019,
75,5.577384202636709,6,ANP,2020,
76,5.70523819061278,6,ANP,2021,
77,5.926636688293443,6,ANP,2022,
78,5.340068154846188,6,ANP,2023,
79,5.202183642150872,6,ANP,2024,
80,4.354422688781735,11,ANP,1985,
81,4.508842365600588,11,ANP,1986,
82,4.620514704467773,11,ANP,1987,
83,4.4087195615844745,11,ANP,1988,
84,4.852436002258297,11,ANP,1989,
85,4.880098131408687,11,ANP,1990,
86,4.0314686831664925,11,ANP,1991,
87,4.140382724914541,11,ANP,1992,
88,3.790456596740718,11,ANP,1993,
89,3.7781675451660135,11,ANP,1994,
90,3.977295869506833,11,ANP,1995,
91,4.256749305908193,11,ANP,1996,
92,4.709698909545891,11,ANP,1997,
93,4.86963686614989,11,ANP,1998,
94,5.076097225463849,11,ANP,1999,
95,4.6261521801147385,11,ANP,2000,
96,4.47343385919189,11,ANP,2001,
97,4.3295798287353495,11,ANP,2002,
98,4.649262888610844,11,ANP,2003,
99,4.611702479614257,11,ANP,2004,
100,4.547455398254395,11,ANP,2005,
101,4.423373023864748,11,ANP,2006,
102,4.17675855078125,11,ANP,2007,
103,4.061646163330074,11,ANP,2008,
104,3.7650316981201097,11,ANP,2009,
105,3.5602965186157167,11,ANP,2010,
106,3.4969151096191324,11,ANP,2011,
107,3.2530278338012604,11,ANP,2012,
