territory,name,class,year,area
120,ANP,12,1985,4.432944647766093
121,ANP,12,1986,4.472218474731429
122,ANP,12,1987,4.246420101135229
123,ANP,12,1988,4.208020345642063
124,ANP,12,1989,4.407132678100564
125,ANP,12,1990,4.158122634826641
126,ANP,12,1991,4.324137167358376
127,ANP,12,1992,4.430350385070775
128,ANP,12,1993,3.982263240722637
129,ANP,12,1994,3.654687658019994
130,ANP,12,1995,3.6823464323119888
131,ANP,12,1996,3.564522789367653
132,ANP,12,1997,3.3869227567748816
133,ANP,12,1998,3.2039257305297646
134,ANP,12,1999,2.9897086243285917
135,ANP,12,2000,2.7210460704955826
136,ANP,12,2001,2.5014771649780037
137,ANP,12,2002,2.357018013549786
138,ANP,12,2003,2.3981151512451007
139,ANP,12,2004,2.300938161865224
140,ANP,12,2005,2.211701730041493
141,ANP,12,2006,2.3169799661254737
142,ANP,12,2007,2.3801462719726327
143,ANP,12,2008,2.0124373050536897
144,ANP,12,2009,1.8232278218993967
145,ANP,12,2010,1.786638776672346
146,ANP,12,2011,1.8151940603637517
147,ANP,12,2012,1.8615622291869893
148,ANP,12,2013,1.9695185735473408
149,ANP,12,2014,2.0534063283691166
150,ANP,12,2015,2.0658964397582773
151,ANP,12,2016,1.9926929549560317
152,ANP,12,2017,1.9962549276733172
153,ANP,12,2018,2.005174251586892
154,ANP,12,2019,1.989109510986307
155,ANP,12,2020,1.9641211021728306
156,ANP,12,2021,1.9230754559325964
157,ANP,12,2022,1.9311117969360143
158,ANP,12,2023,1.9917996835937282
159,ANP,12,2024,2.0034076017455833
160,ANP,13,1985,13.487916749755913
161,ANP,13,1986,13.491492146362358
162,ANP,13,1987,13.460218115783743
163,ANP,13,1988,13.4789767738648
164,ANP,13,1989,13.031215350769113
165,ANP,13,1990,13.042813781921456
166,ANP,13,1991,12.990123332336493
167,ANP,13,1992,12.990123332336493
168,ANP,13,1993,13.039273790771553
169,ANP,13,1994,13.021454828064034
170,ANP,13,1995,13.202826932617276
171,ANP,13,1996,13.214503450744717
172,ANP,13,1997,13.219862352111905
173,ANP,13,1998,13.22872339416513
174,ANP,13,1999,13.570114105835026
175,ANP,13,2000,13.65496049298103
176,ANP,13,2001,13.594168099853587
177,ANP,13,2002,13.517302308593825
178,ANP,13,2003,13.303678804443427
179,ANP,13,2004,13.280459075073304
180,ANP,13,2005,13.283171385315026
181,ANP,13,2006,13.297468193054288
182,ANP,13,2007,13.20808803039553
183,ANP,13,2008,12.803198949340821
184,ANP,13,2009,12.742384058410638
185,ANP,13,2010,12.600253911315884
186,ANP,13,2011,12.580574211547821
187,ANP,13,2012,12.953208233459444
188,ANP,13,2013,12.958549056457493
189,ANP,13,2014,13.067586568481413
190,ANP,13,2015,13.046138098327605
191,ANP,13,2016,13.028336404235862
192,ANP,13,2017,13.363571337463442
