1.0;1;30202
10.0;20;30228
11.0;22;30209
12.0;23;30211
13.0;24;30212
14.0;25;30217
15.0;26;30204
16.0;28;30205
17.0;31;30223
18.0;32;30223
19.0;33;30223
2.0;3;30208
20.0;34;30223
21.0;35;30223
22.0;36;30229
23.0;37;30229
24.0;38;30230
25.0;2;30203
26.0;7;30220
27.0;8;30227
28.0;9;30235
29.0;10;30236
3.0;4;30210
30.0;11;30201
31.0;12;30206
32.0;15;30215
33.0;16;30218
34.0;18;30225
35.0;21;30231
36.0;27;30222
37.0;29;30207
38.0;30;30221
39.0;39;30232
4.0;5;30216
40.0;40;30233
41.0;41;30234
42.0;42;30237
43.0;43;30104
44.0;44;30105
45.0;45;30106
46.0;200;30103
47.0;201;30108
48.0;422;30101
49.0;423;30102
5.0;6;30219
50.0;424;30107
51.0;90;30314
52.0;113;30314
53.0;124;30310
54.0;125;30310
55.0;127;30310
56.0;136;30410
57.0;138;30411
58.0;139;30311
59.0;140;30311
6.0;13;30213
60.0;141;30311
61.0;142;30311
62.0;143;30311
63.0;144;30311
64.0;159;30417
65.0;164;30317
66.0;204;30303
67.0;374;30412
68.0;455;30474
69.0;456;30475
7.0;14;30214
70.0;460;30473
71.0;462;30480
72.0;465;30478
73.0;466;30472
8.0;17;30224
9.0;19;30226
